City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Rock Springs,US,2021-05-14 19:10:43,41.5875,-109.2029,72.0,19,1,9.22
184,La Rioja,ES,2021-05-14 19:14:49,42.25,-2.5,66.2,39,0,4.61
185,Benguela,AO,2021-05-14 19:14:49,-12.5763,13.4055,79.11,77,0,3.49
186,Nikolayevka,RU,2021-05-14 19:14:50,53.1257,47.2041,66.81,72,100,6.06
187,Coihaique,CL,2021-05-14 19:14:50,-45.5752,-72.0662,41.0,89,90,5.75
188,Bathsheba,BB,2021-05-14 19:14:50,13.2167,-59.5167,84.2,61,40,18.41
189,Aklavik,CA,2021-05-14 19:14:51,68.2191,-135.0107,39.2,70,75,8.05
190,Cidreira,BR,2021-05-14 19:14:51,-30.1811,-50.2056,62.73,59,100,4.81
191,Richards Bay,ZA,2021-05-14 19:14:52,-28.783,32.0377,67.82,81,0,10.02
192,Antofagasta,CL,2021-05-14 19:14:52,-23.65,-70.4,73.0,77,90,12.66
193,Asyut,EG,2021-05-14 19:12:58,27.181,31.1837,87.8,29,0,14.97
194,Avera,US,2021-05-14 19:14:53,33.194,-82.5271,75.0,31,75,6.91
195,Haines Junction,CA,2021-05-14 19:14:53,60.7522,-137.5108,48.2,46,100,9.22
196,Puerto Del Rosario,ES,2021-05-14 19:10:15,28.5004,-13.8627,71.6,60,20,26.46
197,Yerbogachen,RU,2021-05-14 19:14:54,61.2767,108.0108,45.43,45,100,8.77
198,Baruun-Urt,MN,2021-05-14 19:14:54,46.6806,113.2792,39.76,42,100,6.96
199,Berlevag,NO,2021-05-14 19:14:55,70.8578,29.0864,35.6,64,75,13.8
200,Ponta Do Sol,PT,2021-05-14 19:14:55,32.6667,-17.1,71.6,40,20,13.8
201,Sibolga,ID,2021-05-14 19:14:55,1.7427,98.7792,77.74,86,71,2.93
202,Norman Wells,CA,2021-05-14 19:14:56,65.282,-126.8329,42.8,61,75,18.41
203,Ibra,OM,2021-05-14 19:14:56,22.6906,58.5334,86.16,41,98,8.68
204,Surt,LY,2021-05-14 19:14:57,31.2089,16.5887,68.47,73,28,15.77
205,Victoria,HK,2021-05-14 19:13:14,22.2855,114.1577,84.0,81,0,1.99
206,Bambous Virieux,MU,2021-05-14 19:14:57,-20.3428,57.7575,77.0,73,40,14.97
207,Guerrero Negro,MX,2021-05-14 19:13:16,27.9769,-114.0611,68.88,56,0,15.05
208,Dingle,PH,2021-05-14 19:14:58,10.9995,122.6711,78.03,89,100,5.82
209,Saint-Louis,SN,2021-05-14 19:14:58,16.3333,-15.0,105.8,16,0,4.61
210,Inzer,RU,2021-05-14 19:14:59,54.2167,57.5556,61.5,60,0,3.53
211,Arraial Do Cabo,BR,2021-05-14 19:13:08,-22.9661,-42.0278,75.2,68,0,3.44
212,Anadyr,RU,2021-05-14 19:14:59,64.75,177.4833,35.6,87,0,6.71
213,Mankono,CI,2021-05-14 19:15:00,8.0586,-6.1897,85.03,53,78,1.9
214,Noumea,NC,2021-05-14 19:15:00,-22.2763,166.4572,78.01,94,75,3.44
215,Hovd,MN,2021-05-14 19:15:01,48.0056,91.6419,49.39,56,99,3.29
216,Angostura,MX,2021-05-14 19:15:01,25.3667,-108.1833,97.0,45,39,11.01
217,Black River,JM,2021-05-14 19:15:02,18.0264,-77.8487,86.0,66,20,14.97
218,Creston,US,2021-05-14 19:15:03,41.0586,-94.3614,59.0,67,40,9.22
219,New Kensington,US,2021-05-14 19:15:03,40.5698,-79.7648,70.0,36,97,4.0
220,Sao Sebastiao,BR,2021-05-14 19:15:03,-23.76,-45.4097,71.02,71,99,5.1
221,Vitez,BA,2021-05-14 19:15:04,44.1544,17.7903,59.0,51,40,2.3
222,Avarua,CK,2021-05-14 19:15:05,-21.2078,-159.775,75.2,100,100,1.14
223,Belaya Gora,RU,2021-05-14 19:15:05,68.5333,146.4167,21.22,92,18,3.78
224,Faya,SA,2021-05-14 19:15:05,18.3851,42.4509,68.0,55,40,3.58
225,Turukhansk,RU,2021-05-14 19:15:06,65.8167,87.9833,29.01,97,100,6.31
226,Manta,EC,2021-05-14 19:15:06,-0.95,-80.7333,82.4,69,20,13.8
227,Iqaluit,CA,2021-05-14 19:15:07,63.7506,-68.5145,33.8,55,40,5.75
228,Prieska,ZA,2021-05-14 19:15:07,-29.6641,22.7474,67.26,26,2,8.81
229,Esmeraldas,BR,2021-05-14 19:15:07,-19.7625,-44.3139,77.0,56,40,10.36
230,Pangai,TO,2021-05-14 19:15:08,-19.8,-174.35,77.0,73,40,13.8
231,Ukiah,US,2021-05-14 19:11:47,39.1502,-123.2078,80.6,29,1,4.61
232,Sabaudia,IT,2021-05-14 19:15:08,41.3003,13.0282,57.0,91,100,1.01
233,Opuwo,NA,2021-05-14 19:15:10,-18.0607,13.84,66.7,33,3,4.63
234,Sabang,ID,2021-05-14 19:15:11,5.8933,95.3214,83.41,73,76,4.88
235,Shush,IR,2021-05-14 19:15:12,32.1942,48.2436,90.09,13,3,9.64
236,Guantanamo,CU,2021-05-14 19:15:12,20.1444,-75.2092,89.6,58,20,13.8
237,Flin Flon,CA,2021-05-14 19:10:40,54.7682,-101.865,51.8,50,90,9.22
238,Winchester,GB,2021-05-14 19:15:13,51.0651,-1.3187,53.01,82,20,4.61
239,Mapiripan,CO,2021-05-14 19:15:13,2.8892,-72.1256,85.46,66,80,4.5
240,Ilam,NP,2021-05-14 19:15:14,26.9167,87.9167,64.53,73,85,4.92
241,Te Anau,NZ,2021-05-14 19:15:14,-45.4167,167.7167,42.37,92,12,2.35
242,Leningradskiy,RU,2021-05-14 19:15:15,69.3833,178.4167,24.51,89,22,2.37
243,Bukachacha,RU,2021-05-14 19:15:15,52.9833,116.9167,34.41,94,71,4.07
244,Coahuayana,MX,2021-05-14 19:15:15,18.7333,-103.6833,78.8,69,75,8.05
245,Vysokogornyy,RU,2021-05-14 19:15:16,50.1167,139.15,40.26,93,100,3.94
246,Baykit,RU,2021-05-14 19:15:16,61.67,96.37,33.17,92,93,5.53
247,Emerald,AU,2021-05-14 19:15:17,-23.5333,148.1667,53.6,62,0,6.91
248,Manjeshwar,IN,2021-05-14 19:15:17,12.7194,74.8861,77.0,88,75,9.22
249,Lompoc,US,2021-05-14 19:15:17,34.6391,-120.4579,59.0,67,2,10.36
250,Vanimo,PG,2021-05-14 19:15:18,-2.6741,141.3028,78.12,88,87,5.21
251,Luzhou,CN,2021-05-14 19:15:19,28.8724,105.4405,76.03,88,98,3.56
252,Flinders,AU,2021-05-14 19:15:20,-34.5833,150.8552,55.0,63,100,1.01
253,Hamilton,US,2021-05-14 19:11:17,39.1834,-84.5333,72.0,26,1,4.61
254,Gondanglegi,ID,2021-05-14 19:15:20,-7.7479,112.0132,75.18,91,20,8.55
255,Ecublens,CH,2021-05-14 19:15:20,46.529,6.5626,55.0,69,40,1.99
256,Namibe,AO,2021-05-14 19:15:21,-15.1961,12.1522,77.83,66,0,6.38
